# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,agent_status,agent_code,agent_duration,check_desc,agent_desc,check_rise,check_fall,check_health,agent_rise,agent_fall,agent_health,addr,cookie,mode,algo,conn_rate,conn_rate_max,conn_tot,intercepted,dcon,dses,
http_backend_backend_jjj,frontA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,4,4,84523,742,,1,36,1,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:11255,,http,,,,,,,,
http_backend_backend_jjj,frontB.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,2,2,84393,7,,1,36,2,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:11255,,http,,,,,,,,
http_backend_backend_jjj,BACKEND,0,0,0,0,1800,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,2,84523,189,,1,36,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-1,,,0,0,0,0,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_nnn,nodeA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,0,0,5912011,0,,1,37,1,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.30:11275,,http,,,,,,,,
http_backend_backend_nnn,nodeB.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,0,0,5912011,0,,1,37,2,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.31:11275,,http,,,,,,,,
http_backend_backend_nnn,BACKEND,0,0,0,0,900,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,5912011,0,,1,37,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-1,,,0,0,0,0,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_n_zzz_uuu,nodeA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,0,0,5912011,0,,1,38,1,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.30:11345,,http,,,,,,,,
http_backend_backend_n_zzz_uuu,nodeB.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,0,0,5912011,0,,1,38,2,,0,,2,0,,0,L7OK,200,2,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.31:11345,,http,,,,,,,,
http_backend_backend_n_zzz_uuu,BACKEND,0,0,0,0,900,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,5912011,0,,1,38,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-1,,,0,0,0,0,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_n_sss,nodeA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,0,0,5912011,0,,1,39,1,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.30:11435,,http,,,,,,,,
